opening,closing
((([[([[((((,))))]])]])))
[[([[((([[(([((([([([((,))])])])))]))]])))]])]]
(([((((([([(,)])])))))]))
(([[[((,))]]]))
([[[[[[([[([([[([((,))])]])])]])]]]]]])
((([([(([([,])]))])])))
[([[[([[[(,)]]])]]])]
((([(([([((((([(([[,]]))])))))])]))])))
(([([,])]))
[((([[([[[,]]])]])))]
(([[[[([([((([[(((([[[([(([([[,]])]))])]]]))))]])))])])]]]]))
[[[([,])]]]
([([[(([([([([([([[,]])])])])])]))]])])
[[([(([[((([[[([([[([[([(([[((,))]]))])]])]])])]]])))]]))])]]
([(([[([[[[([(([((([,])))]))])]]]])]]))])
[[([[([([(([(([([[((([[[([([[,]])])]]])))]])]))]))])])]])]]
[((([[[([([[([(([([(,)])]))])]])])]]])))]
[(([(((([((([[[[([([(([[[([[,]])]]]))])])]]]])))]))))]))]
([[([([(([[[[[[[[[(([[[[(([,]))]]]]))]]]]]]]]]))])])]])
(([[(([([[(((([[,]]))))]])]))]]))
[[([[[([(([[[((([[([([(,)])])]])))]]]))])]]])]]
[([(([([(([[[[((([,])))]]]]))])]))])]
[(((([((([[(((([,]))))]])))]))))]
([([([((([[[(((([[[,]]]))))]]])))])])])
(([[[(([[,]]))]]]))
([([[([,])]])])
[[[([[[(([(([([([([(([[,]]))])])])]))]))]]])]]]
([[(([((([[[,]]])))]))]])
([[[,]]])
[[[(([(((((([(((((((,)))))))]))))))]))]]]
[(([[[[((([([[((([[,]])))]])])))]]]]))]
[(([,]))]
[[([[([[(([[([([[(([[(([([[[((,))]]])]))]]))]])])]]))]])]])]]
([((((((([((,))])))))))])
((([([(((,)))])])))
[([[[[[[([[((([[([[[[[(,)]]]]])]])))]])]]]]]])]
[([(((((([[(([[[[([[((([,])))]])]]]]))]]))))))])]
[((((((([[[((([(((([[([(((,)))])]]))))])))]]])))))))]
([((([[([[[[[([([[((((([(([[[,]]]))])))))]])])]]]]])]])))])
(([(([(([[([[[(([[[[,]]]]))]]])]]))]))]))
([(([[[[([([[[[((([([[([([([(,)])])])]])])))]]]])])]]]]))])
[,]
((([([(([[(([[[([(([,]))])]]]))]]))])])))
[[(([[[([,])]]]))]]
[[[[[(([,]))]]]]]
[([(([[([[(([[[[(([([,])]))]]]]))]])]]))])]
[[(([((([[,]])))]))]]
([((((([[([,])]])))))])
[[(([(([((([([[([[[,]]])]])])))]))]))]]
[[(([[[(([([[(([(([[([(([,]))])]]))]))]])]))]]]))]]
((((([(([([[[[([([[[([([[[([(,)])]]])])]]])])]]]])]))])))))
(((,)))
[[[(([(([(([([[[((([(((([(,)]))))])))]]])]))]))]))]]]
[[[[([[([([[([([[(([(,)]))]])])]])])]])]]]]
(([(,)]))
((((([[[((((,))))]]])))))
([[,]])
[[[[[,]]]]]
[([[([[[([[(([[[((([[[(,)]]])))]]]))]])]]])]])]
[[[[(((([([[(((([[[[([([[,]])])]]]]))))]])]))))]]]]
([(([[(((((,)))))]]))])
[[(([[(([[[[,]]]]))]]))]]
[[,]]
([([(((([([(((([(((([([[,]])]))))]))))])]))))])])
[[[[,]]]]
[(([[[[([(((([(([(((((([[[[(([,]))]]]]))))))]))]))))])]]]]))]
([([([[([((((((([(([((,))]))])))))))])]])])])
[([[([[,]])]])]
[(((([[[([(,)])]]]))))]
([[[([(([[(([(([[[[([[((([,])))]])]]]]))]))]]))])]]])
[(([[([([[((([[[[,]]]])))]])])]]))]
[([[[([(([(([(,)]))]))])]]])]
[([([[[((((,))))]]])])]
[[((((([([[[([,])]]])])))))]]
[(([((((([([([(([[[[[,]]]]]))])])])))))]))]
[[(([((([[[[([[([[(([[([(,)])]]))]])]])]]]])))]))]]
[[((([((([(([(([[[[([[(([[,]]))]])]]]]))]))])))])))]]
((([[[[[[[(([[((,))]]))]]]]]]])))
([([[([(([[[(((([((,))]))))]]]))])]])])
([((([[[[[(([((([,])))]))]]]]])))])
([(([[[([([[,]])])]]]))])
(([(([[[([((,))])]]]))]))
(((((([(((((([[[[[[[(((([(,)]))))]]]]]]]))))))]))))))
[(([[(([(,)]))]]))]
[((((([[(([(([[[([,])]]]))]))]])))))]
[[([[([([([[[(([[([([((([((,))])))])])]]))]]])])])]])]]
([[[[([[([(([(,)]))])]])]]]])
[((([([[[[([,])]]]])])))]
(([[[[[([(([((([((([[[[[,]]]]])))])))]))])]]]]]))
[[[[((((([((([[([[([[([[[(((([,]))))]]])]])]])]])))])))))]]]]
[[(([(([([[([[[,]]])]])]))]))]]
[([((([[[[[[((,))]]]]]])))])]
[((([[((((([[[(([([([[[[[,]]]]])])]))]]])))))]])))]
([[[[[[([[((([([[[[([[[[[[[[(,)]]]]]]]])]]]])])))]])]]]]]])
(([(([[[((((([([[[,]]])])))))]]]))]))
[(([[([([[([[([[[((((([[([([[,]])])]])))))]]])]])]])])]]))]
[[[[[[[[[((([([([[[[[([[([[([[,]])]])]])]]]]])])])))]]]]]]]]]
(([[,]]))
[([([[((([,])))]])])]
([[([[([[((([(([(((,)))]))])))]])]])]])
(((([[([[([[([[,]])]])]])]]))))
[[[([[(((([((([([[(((([,]))))]])])))]))))]])]]]
[(,)]
([[[[[[[[([[(([(([((([[([[([,])]])]])))]))]))]])]]]]]]]])
[[([[[((([[([[(,)]])]])))]]])]]
[[[(([[[[,]]]]))]]]
[(([([([,])])]))]
[([[([([([(([([[([[[(,)]]])]])]))])])])]])]
[([([[([(([([(([[[[[,]]]]]))])]))])]])])]
([[((([(([[([,])]]))])))]])
[[[([(([(([[[(,)]]]))]))])]]]
[([[[(((((([[((([([[[[[(([((,))]))]]]]])])))]]))))))]]])]
(((([(([[[[,]]]]))]))))
(([([([[(((([([[(([(([[((,))]]))]))]])]))))]])])]))
((((([[([[(([[([[((,))]])]]))]])]])))))
[[[[[[(([([[[[[([(([[([[[[[[[(,)]]]]]]])]]))])]]]]])]))]]]]]]
((((((([(([[[(([[([,])]]))]]]))])))))))
(([(([[([((([[(([[,]]))]])))])]]))]))
[(([[(,)]]))]
((([[[[,]]]])))
((([(([[[(([[((([[[((([([[((,))]])])))]]])))]]))]]]))])))
[([[(([[([(([[[[[(([([[[(([,]))]]])]))]]]]]))])]]))]])]
[[[(([[[([,])]]]))]]]
[[[([[([([[[[([([((([[[[[(([[[,]]]))]]]]])))])])]]]])])]])]]]
[[[((((,))))]]]
[[([[([[([[([[[([([[,]])])]]])]])]])]])]]
[((([[([(([[((([([([[([[([([[,]])])]])]])])])))]]))])]])))]
([[[[[[([[[[[(([(([[([((([([(,)])])))])]]))]))]]]]])]]]]]])
[[[([[(([((([(((([(,)]))))])))]))]])]]]
([[([[(([(([,]))]))]])]])
(([[[(((([(([[([[[((,))]]])]]))]))))]]]))
[(((([[[[([([[[(((([(,)]))))]]])])]]]]))))]
([[([([([[[([((((([([[[[(,)]]]])])))))])]]])])])]])
(([[[[,]]]]))
(([(([[[(([[(([([(([[([,])]]))])]))]]))]]]))]))
(([([(([[([[(((([[([[([(,)])]])]]))))]])]]))])]))
([(([[([(([[(([([[[[[[[(((,)))]]]]]]])]))]]))])]]))])
(([([[((((([((([([,])])))])))))]])]))
[[(,)]]
([([((([[([[[(,)]]])]])))])])
[[[[[([[[(([([[[((([[[,]]])))]]])]))]]])]]]]]
[[[((([([[[,]]])])))]]]
[[([([(((((([([[[(([(([[,]]))]))]]])]))))))])])]]
[((((([(((((((([[([([([((([([,])])))])])])]]))))))))])))))]
([([[[(([(([[[[[((([[([[(,)]])]])))]]]]]))]))]]])])
[[([[([[[((([[([[,]])]])))]]])]])]]
[[[[((([[[([([,])])]]])))]]]]
[([[[[(([((([[[[[(((([(([,]))]))))]]]]])))]))]]]])]
(([([([((([([[[([(([((((,))))]))])]]])])))])])]))
([([((([[(,)]])))])])
[((([([[[[([[[[,]]]])]]]])])))]
(([[[(([([[(((,)))]])]))]]]))
((([(([[([[[(((([((,))]))))]]])]]))])))
(([(([((([[[(,)]]])))]))]))
((([[([(,)])]])))
[([(([((((,))))]))])]
[[([([([([[(((((,)))))]])])])])]]
((([[[([[((([[((([([(([,]))])])))]])))]])]]])))
[[[((([([([(([[,]]))])])])))]]]
((([[[[([([([[([,])]])])])]]]])))
[(((([((([[[([[(((([[([([[[[[[,]]]]]])])]]))))]])]]])))]))))]
[[[(([(([[([((((((([([[[[[[,]]]]]])])))))))])]]))]))]]]
[([[[,]]])]
([([([[(([([((([([[((((([,])))))]])])))])]))]])])])
([(([((,))]))])
([((([((([[[[((((([(([([[([,])]])]))])))))]]]])))])))])
[[[,]]]
[(((((,)))))]
([(([[[[[[[[((([([[([[[[[,]]]]])]])])))]]]]]]]]))])
(([([((([[(((((,)))))]])))])]))
[[([[([(((([[([(,)])]]))))])]])]]
[(([[((([((([,])))])))]]))]
[([((((,))))])]
(([([[[(([[((((,))))]]))]]])]))
((([[([,])]])))
[[([[(([[(,)]]))]])]]
[([(([[[,]]]))])]
[([(((([[[([([[((([(,)])))]])])]]]))))])]
[((,))]
[(([[([(([[,]]))])]]))]
[[([((((([([([([([[[([[(,)]])]]])])])])])))))])]]
((([((([[([[[[[((([[[([([[([[,]])]])])]]])))]]]]])]])))])))
((((([[(((([[[[([(((,)))])]]]]))))]])))))
(([[([[(((([[(((((((((((((([[(,)]]))))))))))))))]]))))]])]]))
(([([([([((([[(([[,]]))]])))])])])]))
[[((([[[[([((((([([((,))])])))))])]]]])))]]
(((([[[[[([[[[(([(,)]))]]]])]]]]]))))
(([[[[([[[([([,])])]]])]]]]))
([[(((((([[[([,])]]]))))))]])
[[((((([[((,))]])))))]]
([(((([((([[(([(([[([([,])])]]))]))]])))]))))])
[[([([[(((([,]))))]])])]]
([[([(([(,)]))])]])
[([[[((((([[[[[(((([[[[[[(((,)))]]]]]]))))]]]]])))))]]])]
[[(((([[[[([[[(([([[(((([[,]]))))]])]))]]])]]]]))))]]
(([([[[([(,)])]]])]))
[[[(,)]]]
([[[[[([([([[([([[([[([[[[([(,)])]]]])]])]])])]])])])]]]]])
(((((,)))))
[(((([[[(([[((([[([[[(((,)))]]])]])))]]))]]]))))]
[([([[((([(([[[([[[((([(((([[[,]]]))))])))]]])]]]))])))]])])]
[([[((,))]])]
[[(([((([[(([((([,])))]))]])))]))]]
[[([([([([([([([[[[[((([[((,))]])))]]]]])])])])])])])]]
[((([((((,))))])))]
[[[(([(([((([[[(([([(([,]))])]))]]])))]))]))]]]
[(((((([(([[((,))]]))]))))))]
[[([([(((([[[[(([[([[(,)]])]]))]]]]))))])])]]
[([([,])])]
((((,))))
[[([[(([[,]]))]])]]
(((([(((([([([[[([[[([[[((,))]]])]]])]]])])]))))]))))
[([[(((([[(([[[([(((([,]))))])]]]))]]))))]])]
[[([((([[([[[[(([([,])]))]]]])]])))])]]
([,])
([(([[([[((,))]])]]))])
[((([[([([[((((([[[(([[([([,])])]]))]]])))))]])])]])))]
(([[[(,)]]]))
[[[([(,)])]]]
[([(((,)))])]
([[(([((([([[[((([(([([[[,]]])]))])))]]])])))]))]])
((((((,))))))
[[[(([([([([([,])])])])]))]]]
([[[([([[[((([[,]])))]]])])]]])
([(([[([((((((([[[,]]])))))))])]]))])
[(([[([(,)])]]))]
(([[([[([[[([[[([(([(([(([,]))]))]))])]]])]]])]])]]))
[([(([[[[[((([[[([(,)])]]])))]]]]]))])]
[[([[(([[[[(([([(((([([[[[([[,]])]]]])]))))])]))]]]]))]])]]
[[([((([(,)])))])]]
[[[(((,)))]]]
[[[[([([[(([[[([[([[[[[[(((((,)))))]]]]]])]])]]]))]])])]]]]
((([([((([([,])])))])])))
[(([(([[([([([([(([[([[([,])]])]]))])])])])]]))]))]
([[[(([(((,)))]))]]])
[(((([(((([(,)]))))]))))]
([((([([[(([[([[,]])]]))]])])))])
([[[[(((((([(((((([[[[[[[([[,]])]]]]]]]))))))]))))))]]]])
[[([([[[([(([([([[[[((((([,])))))]]]])])]))])]]])])]]
[[[[[([[([,])]])]]]]]
[([((([([(([[[((((([([([[[,]]])])])))))]]]))])])))])]
[[[([[[([[[(([((([([[((,))]])])))]))]]])]]])]]]
[[([[([,])]])]]
((((([(([[(([[([[(,)]])]]))]]))])))))
[[((([(([(([[((([[((([([[,]])])))]])))]]))]))])))]]
(((([(((([([[[[([[,]])]]]])]))))]))))
((([([[(((([((([[[([([,])])]]])))]))))]])])))
[(([((((((([[[([(((([[,]]))))])]]])))))))]))]
[[[(([[(((((([[[([([(([(([[,]]))]))])])]]]))))))]]))]]]
(([(([[[[([[[([(([,]))])]]])]]]]))]))
([[[[[([[(([(([([((((,))))])]))]))]])]]]]])
([((([((([,])))])))])
[(([((([[[[[[([(([([(([[[[[((,))]]]]]))])]))])]]]]]])))]))]
((([[[,]]])))
[[([([(([([[([[[(((([[([[[((([,])))]]])]]))))]]])]])]))])])]]
([([((([([([(([([,])]))])])])))])])
[[[[[[(((((((([[((((([[[[[(([,]))]]]]])))))]]))))))))]]]]]]
[[([[[[,]]]])]]
[(([[(([[[(([[([[((((([([,])])))))]])]]))]]]))]]))]
[[[[[[([(([[([([(([([[[[([[,]])]]]])]))])])]]))])]]]]]]
((((([[([(([(([[(((((([[[[((,))]]]]))))))]]))]))])]])))))
[((((([([[((([(([([[((,))]])]))])))]])])))))]
[([((([((([((([(([((,))]))])))])))])))])]
((([(([(((((([([[((((([((,))])))))]])]))))))]))])))
[[([(([(((([[(([(([(([(,)]))]))]))]]))))]))])]]
[[([[([(([,]))])]])]]
[[([[[[(([[([[([[[[,]]]])]])]]))]]]])]]
([[([,])]])
((([((,))])))
([[(([[[[[([,])]]]]]))]])
((((([[((([([[((,))]])])))]])))))
([([([[([,])]])])])
[([([(((([,]))))])])]
([[[([[[[,]]]])]]])
[(([([([(([(([(,)]))]))])])]))]
[([,])]
[[([(([(([(([((((([[[[[[[[([[(,)]])]]]]]]]])))))]))]))]))])]]
[[[[(((((([[[((([([,])])))]]]))))))]]]]
(([[(((((([[(([((([,])))]))]]))))))]]))
[[[[[[[([((((,))))])]]]]]]]
([([[([[([((,))])]])]])])
([((([(([[[[((([[([[[[[[,]]]]]])]])))]]]]))])))])
(([(([[[((,))]]]))]))
[[((([[(([((([(((([[(,)]]))))])))]))]])))]]
[(((([[[[[[(((,)))]]]]]]))))]
[(([(((,)))]))]
([([((([((([[([[([[[[([,])]]]])]])]])))])))])])
([(((([[,]]))))])
([[(([[[[[[[(([(((([[[[(([((((,))))]))]]]]))))]))]]]]]]]))]])
(((([(([((([[[(([[(([(((,)))]))]]))]]])))]))]))))
(([[(((([[([[(([([[[([,])]]])]))]])]]))))]]))
([(,)])
[([(([[([[[(([([(,)])]))]]])]]))])]
(([([[[(([[([((,))])]]))]]])]))
([([[[((([([([((([[[[,]]]])))])])])))]]])])
([[[[([([[[[[[([[[((([[[,]]])))]]])]]]]]])])]]]])
[[[([[[[[[[([([([[[([(,)])]]])])])]]]]]]])]]]
([[[[([(([[[((((([([[[[[[[[[[,]]]]]]]]]])])))))]]]))])]]]])
((([([((([([[([([[[((([[,]])))]]])])]])])))])])))
[[([,])]]
[[[[[(([(((([((([(([([[(([(,)]))]])]))])))]))))]))]]]]]
(((([([(([[[((((([[(([[[[[,]]]]]))]])))))]]]))])]))))
[((([((([[[,]]])))])))]
(((([([[([((((((((([([(([,]))])])))))))))])]])]))))
[[[(((([[([(((([((((([((([[[[,]]]])))])))))]))))])]]))))]]]
(([(([([([((([,])))])])]))]))
[([(([[,]]))])]
([[[([([[[[([[(([([(,)])]))]])]]]])])]]])
[[(((([([[[[,]]]])]))))]]
[([([(,)])])]
[(([[(([[[(((([(([((((((,))))))]))]))))]]]))]]))]
[[[[[(([([(([[((([[,]])))]]))])]))]]]]]
((([[(,)]])))
[([([(([[[(([((((,))))]))]]]))])])]
[[[[[[(([(,)]))]]]]]]
([[[([[[[[([[[([[([((,))])]])]]])]]]]])]]])
(((((((([(([[[[([[[[[,]]]]])]]]]))]))))))))
[[([([([([[,]])])])])]]
([[[(((((([[[[[(((([((([,])))]))))]]]]]))))))]]])
[([([(([[([[[[[([((([[[[(([[(,)]]))]]]])))])]]]]])]]))])])]
[[[([(([[([([([(([(([[([[([[,]])]])]]))]))])])])]]))])]]]
([((([([([[([,])]])])])))])
[((([[(([,]))]])))]
((([(([([[(([(((([(((([(((,)))]))))]))))]))]])]))])))
(([[[[([[(([([([[(([,]))]])])]))]])]]]]))
((([([(([[(((([[[[(,)]]]]))))]]))])])))
(([[([(((([(([[[[[[[[,]]]]]]]]))]))))])]]))
[((([[(,)]])))]
[[[((((((((([[[[[[[[([(([,]))])]]]]]]]])))))))))]]]
[((([([[([((([[(([[([[([((,))])]])]]))]])))])]])])))]
[([([(((([(((([[((,))]]))))]))))])])]
[[[[(([[((([[[,]]])))]]))]]]]
([[(([[[[(([([,])]))]]]]))]])
[[[([[,]])]]]
[(([[[([(([[([[([[[[([,])]]]])]])]]))])]]]))]
[([(([,]))])]
[([[([([[[[([[([[[[(((,)))]]]])]])]]]])])]])]
[[[([[([[[([([[([[([[([(([(((,)))]))])]])]])]])])]]])]])]]]
[[([[,]])]]
[(([[(([[(((([([[([(([(([[(,)]]))]))])]])]))))]]))]]))]
[[([(([([[[(((((([(,)]))))))]]])]))])]]
([([(([[(([[,]]))]]))])])
[((([([([([[[((([(([([([((,))])])]))])))]]])])])])))]
[(([([[((((((,))))))]])]))]
([[[[([([((((((((,))))))))])])]]]])
([((([[(([([[[(([([(((((((([,]))))))))])]))]]])]))]])))])
([(([[[([(((([[[([([(,)])])]]]))))])]]]))])
((((([([((((([,])))))])])))))
([(((,)))])
([[([((([[(([[((([([[[(([[[((,))]]]))]]])])))]]))]])))])]])
[[((([[(,)]])))]]
([(([(((((([[([[,]])]]))))))]))])
(([[[(([([(((([[[(([[([[,]])]]))]]]))))])]))]]]))
([([([(((([(([[([([([[[,]]])])])]]))]))))])])])
[((([(((([[(,)]]))))])))]
[[([[[[([[([[[[[([[((([[([([,])])]])))]])]]]]])]])]]]])]]
[([[((([(([[[(((([[[[((,))]]]]))))]]]))])))]])]
([([(([[[((((([([[,]])])))))]]]))])])
[[[[[((([([[(([[((((((([(,)])))))))]]))]])])))]]]]]
[[(((([([([(([[((([(([[[[[[[,]]]]]]]))])))]]))])])]))))]]
[((((([[((([(([[((,))]]))])))]])))))]
[((([((([[[[[((([,])))]]]]])))])))]
[[[[[([[[([[[([([[(([,]))]])])]]])]]])]]]]]
[[[[[[[[[([(([[[(([[((([[[,]]])))]]))]]]))])]]]]]]]]]
((([([[[[([[[((([(([[([[(,)]])]]))])))]]])]]]])])))
[[([[(([((,))]))]])]]
[[([([[,]])])]]
[(((([(([([([[[,]]])])]))]))))]
([[[[([([,])])]]]])
([([([[([((([(,)])))])]])])])
([([[[([[[,]]])]]])])
[(([[[((((([[[(([([([([[(((,)))]])])])]))]]])))))]]]))]
(([[([((([(,)])))])]]))
[(([[(((([[([(([([[(((((,)))))]])]))])]]))))]]))]
[(([(((([([((([(([[[[[[[(,)]]]]]]]))])))])]))))]))]
[[([([[(,)]])])]]
([(([[([([((([((([[([([,])])]])))])))])])]]))])
([([[[((([[,]])))]]])])
[[[[[(([(((((([,]))))))]))]]]]]
((([(([[[[[(([[[[([([[(,)]])])]]]]))]]]]]))])))
([([([[[[[(((([[[[[([[((((([,])))))]])]]]]]))))]]]]])])])
([[[[[((([([([[(([([(,)])]))]])])])))]]]]])
[[([((((([([[[[[([[[((,))]]])]]]]])])))))])]]
[[[[[[(,)]]]]]]
(([[((([,])))]]))
([([[[(([([(((([([((((([([,])])))))])]))))])]))]]])])
[[([[(([[[[[(,)]]]]]))]])]]
[(((([([[,]])]))))]
[([[[((([((([([(((([(((,)))]))))])])))])))]]])]
[[[[([([[,]])])]]]]
[([(([([([[,]])])]))])]
(([[[[[,]]]]]))
[[[[((([[[[[(((([(([[([[((((,))))]])]]))]))))]]]]])))]]]]
((((([([[((([((([([[((,))]])])))])))]])])))))
([(([[[[([[((([[[[,]]]])))]])]]]]))])
[[[((([([(([([([([((((((,))))))])])])]))])])))]]]
[[([[([[(,)]])]])]]
[([[,]])]
(([[[([[(,)]])]]]))
((([[([(([[([[,]])]]))])]])))
[([[[([([([((([([[[[[[,]]]]]])])))])])])]]])]
([[([((((([(([[[[(([(,)]))]]]]))])))))])]])
[[[(([[((,))]]))]]]
([(([[[(((([[([(([[([[[(((,)))]]])]]))])]]))))]]]))])
[[([[[([[(((((,)))))]])]]])]]
[(([([[(([,]))]])]))]
[((([((([[(((([([[(((,)))]])]))))]])))])))]
[(([[([(([(([,]))]))])]]))]
(([([[([(([([[[(([[[(((((,)))))]]]))]]])]))])]])]))
[([([[([[[,]]])]])])]
(([[([([([(,)])])])]]))
(([[[([[([(([(([([[([([[(,)]])])]])]))]))])]])]]]))
[[[[(([,]))]]]]
((([[[[([((([[([[(((((([[,]]))))))]])]])))])]]]])))
[[[[([[[[[[[(([[[((([[([[[,]]])]])))]]]))]]]]]]])]]]]
((([[[(([[[((([((([,])))])))]]]))]]])))
[[[[[[([((((([([((([[[[(,)]]]])))])])))))])]]]]]]
[(([[[([([[[[([,])]]]])])]]]))]
[([([[[((([[(((([[,]]))))]])))]]])])]
[([[(([([[[([(([[[[[[([[[([(,)])]]])]]]]]]))])]]])]))]])]
[[([((([((([[[((([([[[,]]])])))]]])))])))])]]
[[[((([,])))]]]
((([(((((([(,)]))))))])))
([[[[[,]]]]])
[[(([(([[[((([[((((,))))]])))]]]))]))]]
((([((([(((([[([(,)])]]))))])))])))
(([[(,)]]))
[[([([[([[(,)]])]])])]]
[((([,])))]
[[[([[[(((([(([[[[[(([[(,)]]))]]]]]))]))))]]])]]]
([[[([[[(([[[[([((([[[,]]])))])]]]]))]]])]]])
[[[([((((([(([[([(([[[[[(,)]]]]]))])]]))])))))])]]]
([(([[[[(((,)))]]]]))])
([[(((([([((,))])]))))]])
[[(([(([(([[[[[[[[[[([([([[(([,]))]])])])]]]]]]]]]]))]))]))]]
[((((([,])))))]
[[(([[[[[(((((,)))))]]]]]))]]
[[[[(((([([(([(([[[([[([(,)])]])]]]))]))])]))))]]]]
([([([[,]])])])
[([([([(([[[([([[[[((,))]]]])])]]]))])])])]
[[(([((((((([[[[[([((([((([(,)])))])))])]]]]])))))))]))]]
[[[[[([([[(([[(([(,)]))]]))]])])]]]]]
[((([[([[([([((((((,))))))])])]])]])))]
[([(([(([[[[[[[(((,)))]]]]]]]))]))])]
[((([[[[[[((,))]]]]]])))]
((([([[[([((([[[[((,))]]]])))])]]])])))
((((([[[[[,]]]]])))))
(((([[[(([[,]]))]]]))))
([(([(([([[[[(((((([(([[,]]))]))))))]]]])]))]))])
[[[([[[[([((([([([[(,)]])])])))])]]]])]]]
[([([[[(([[[[,]]]]))]]])])]
[[[[[[([[([(([([([[([[[[[(([,]))]]]]])]])])]))])]])]]]]]]
[([([[(((([[,]]))))]])])]
(([[[[[([(((([(([,]))]))))])]]]]]))
([([((([([(([,]))])])))])])
([[(([((([[((((([[[[(([[((,))]]))]]]])))))]])))]))]])
[[[(([[[([[[[[[[[(,)]]]]]]]])]]]))]]]
[(([[[(([(([[[([,])]]]))]))]]]))]
[([[[([[[[([(((((,)))))])]]]])]]])]
(([([((([[[,]]])))])]))
((((((([([([(([[([[[[([,])]]]])]]))])])])))))))
([([([[([[([[[[([[,]])]]]])]])]])])])
([(((((((([([([(([([[([[([[,]])]])]])]))])])]))))))))])
[[[(([[[,]]]))]]]
[([[[([[([([(((([[[(([[[[([[[,]]])]]]]))]]]))))])])]])]]])]
[([[[[([[[[[([([,])])]]]]])]]]])]
([[[([((((((([([([[,]])])])))))))])]]])
[[(([[[[([(([((([[([(([([,])]))])]])))]))])]]]]))]]
([([(([[((([[,]])))]]))])])
(([[[(((((((([(([(((,)))]))]))))))))]]]))
[[[([((([[[[(,)]]]])))])]]]
[(((((([(,)]))))))]
([([(([[([[([[[(,)]]])]])]]))])])
[(((([[[[([[[[[([[[[([[,]])]]]])]]]]])]]]]))))]
[([(([[[[(,)]]]]))])]
([((((([(((((((((((([(([((,))]))]))))))))))))])))))])
[[([([([[([(([((([[[((([([([,])])])))]]])))]))])]])])])]]
(([[(([[[([([[([([[((((,))))]])])]])])]]]))]]))
[([[(((([[,]]))))]])]
[([[(([(([([[[([[[[[[([(((,)))])]]]]]])]]])]))]))]])]
[([(([[([[[(([(,)]))]]])]]))])]
(([[[[[[[([(((([([([[([([(,)])])]])])]))))])]]]]]]]))
[[([([(([(,)]))])])]]
([(([[[([[[[[(,)]]]]])]]]))])
([([([,])])])
([[([((([((([[(([,]))]])))])))])]])
[[[(((([[[(,)]]]))))]]]
